* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 17 25  30.000353        48.4541    0.0109         61.3861    0.0104          0.3099    0.0383    17.32  10     23.18     3.72   204.72604167075    112  54  10 S -0.347
 2021  7 23 17 26   0.000354        48.4553    0.0109         61.3874    0.0104          0.3115    0.0382    14.86  10     23.47     3.73   204.72638889298    113  54  10 S -0.347
 2021  7 23 17 26  30.000353        48.4577    0.0110         61.3873    0.0104          0.3143    0.0382    14.67  10     23.80     3.73   204.72673611520    114  54  10 S -0.347
 2021  7 23 17 27   0.000354        48.4571    0.0110         61.3867    0.0104          0.3183    0.0381    12.50  10     24.15     3.74   204.72708333743    115  54  10 S -0.347
 2021  7 23 17 27  30.000353        48.4573    0.0110         61.3881    0.0104          0.3152    0.0381    13.19  10     24.51     3.75   204.72743055964    116  54  10 S -0.347
 2021  7 23 17 28   0.000354        48.4582    0.0110         61.3881    0.0104          0.3232    0.0380    13.34  10     24.89     3.75   204.72777778187    117  54  10 S -0.347
 2021  7 23 17 28  30.000353        48.4593    0.0110         61.3909    0.0104          0.3215    0.0379    14.29  10     25.28     3.75   204.72812500409    118  54  10 S -0.347
 2021  7 23 17 29   0.000354        48.4599    0.0110         61.3910    0.0104          0.3334    0.0378    12.45  10     25.66     3.76   204.72847222632    119  54  10 S -0.347
 2021  7 23 17 29  30.000354        48.4599    0.0110         61.3892    0.0104          0.3323    0.0378    11.89  10     26.02     3.76   204.72881944854    120  54  10 S -0.347
 2021  7 23 17 30   0.000354        48.4598    0.0110         61.3900    0.0104          0.3377    0.0377    13.71  10     26.37     3.76   204.72916667077    121  54  10 S -0.346
 2021  7 23 17 30  30.000354        48.4618    0.0110         61.3912    0.0104          0.3349    0.0376    13.50  10     26.68     3.77   204.72951389298    122  54  10 S -0.346
 2021  7 23 17 31   0.000355        48.4638    0.0111         61.3897    0.0104          0.3280    0.0375    13.59  10     26.97     3.77   204.72986111521    123  54  10 S -0.346
 2021  7 23 17 31  30.000354        48.4627    0.0111         61.3886    0.0104          0.3261    0.0374    14.19  10     27.24     3.77   204.73020833743    124  54  10 S -0.346
 2021  7 23 17 32   0.000353        48.4613    0.0111         61.3898    0.0104          0.3201    0.0373    15.87  10     27.52     3.77   204.73055555965    125  54  10 S -0.346
 2021  7 23 17 32  30.000353        48.4574    0.0111         61.3883    0.0104          0.3165    0.0372    15.20  10     27.80     3.77   204.73090278186    126  54  10 S -0.346
 2021  7 23 17 33   0.000354        48.4594    0.0111         61.3875    0.0104          0.3148    0.0371    18.01  10     28.08     3.77   204.73125000409    127  54  10 S -0.346
